Direction,Order,Expiration,Asset,Open time,Close time,Open price,Close price,Trade amount,Profit,Currency
put,f3b60897-8387-4f7a-948f-2b23c029fee1,S120,EUR/USD OTC,2026-07-23 04:13:17,2026-07-23 04:15:17,1.13376,1.13374,2,1.84,USD
put,0be0a990-b7e9-4165-aa48-69352892e495,S120,EUR/USD OTC,2026-07-23 04:13:17,2026-07-23 04:15:17,1.13379,1.13374,2,1.84,USD
put,06121ca4-48d8-44ee-a3a0-f1831d775689,S120,EUR/USD OTC,2026-07-23 04:13:17,2026-07-23 04:15:17,1.13376,1.13374,2,1.84,USD
put,58a13661-3b91-48f7-a9b9-b616b73ba5cf,S120,EUR/USD OTC,2026-07-23 04:13:16,2026-07-23 04:15:16,1.13377,1.13369,2,1.84,USD
put,cc215ab1-d8dc-402d-8979-ff72c50d2a76,S120,EUR/USD OTC,2026-07-23 04:13:15,2026-07-23 04:15:15,1.13375,1.13368,2,1.84,USD
put,53640184-6d5b-4ee4-80eb-84fdbe30852f,S120,EUR/USD OTC,2026-07-23 04:13:15,2026-07-23 04:15:15,1.13377,1.13368,2,1.84,USD
put,c41ac53e-0578-4a60-9f2f-de0c296c9bd5,S120,EUR/USD OTC,2026-07-23 04:13:14,2026-07-23 04:15:14,1.13387,1.13366,2,1.84,USD
put,082f20d8-e6d6-4a43-a7b9-60f2bf81bb5c,S120,EUR/USD OTC,2026-07-23 04:13:14,2026-07-23 04:15:14,1.13377,1.13366,2,1.84,USD
put,2aa04914-451a-41ff-a29b-7decce62ac2b,S120,EUR/USD OTC,2026-07-23 04:13:13,2026-07-23 04:15:13,1.13383,1.13365,2,1.84,USD
put,1d60ca42-5eef-4a16-9782-4f063a887e8b,S120,EUR/USD OTC,2026-07-23 04:13:13,2026-07-23 04:15:13,1.13387,1.13365,2,1.84,USD
put,ce1a2b28-ad5f-42cb-afdb-b400b623efbd,S120,EUR/USD OTC,2026-07-23 04:13:12,2026-07-23 04:15:12,1.13382,1.13369,2,1.84,USD
put,3d442bdf-f5af-4f74-a148-ba917f0b5dba,S120,EUR/USD OTC,2026-07-23 04:13:12,2026-07-23 04:15:12,1.13381,1.13369,2,1.84,USD
put,fa6665e8-402a-45b5-9fbe-9bf869d5021d,S120,EUR/USD OTC,2026-07-23 04:13:11,2026-07-23 04:15:11,1.13381,1.13366,2,1.84,USD
put,2841e3fa-6a65-4c57-90ad-87b7bde38869,S120,EUR/USD OTC,2026-07-23 04:13:11,2026-07-23 04:15:11,1.13382,1.13366,2,1.84,USD
put,e3bd7a84-b348-495f-89aa-6269b7bebc9b,S120,EUR/USD OTC,2026-07-23 04:13:10,2026-07-23 04:15:10,1.1338,1.13362,2,1.84,USD
put,cc8a9308-5a4a-454c-9222-43b6cf06f3a1,S120,EUR/USD OTC,2026-07-23 04:13:10,2026-07-23 04:15:10,1.13382,1.13362,2,1.84,USD
put,b1f01408-d13e-4bb9-9b59-5165e7ee52e6,S120,EUR/USD OTC,2026-07-23 04:13:09,2026-07-23 04:15:09,1.13376,1.13361,2,1.84,USD
put,5ba51291-714c-4a8e-a20f-19e09fe6d3b3,S120,EUR/USD OTC,2026-07-23 04:13:09,2026-07-23 04:15:09,1.13378,1.13361,2,1.84,USD
put,c601f566-67c1-4f9f-ace6-dace35c13940,S120,EUR/USD OTC,2026-07-23 04:13:08,2026-07-23 04:15:08,1.13388,1.1336,2,1.84,USD
put,5d46260f-7436-461f-8aee-c72788f84bbc,S60,EUR/USD OTC,2026-07-23 04:12:01,2026-07-23 04:13:01,1.13376,1.13387,2,-2,USD
put,fd686e82-28c9-4e88-947e-d26aca868bcd,S60,EUR/USD OTC,2026-07-23 04:09:09,2026-07-23 04:10:09,1.13319,1.13341,2,-2,USD
put,3f9a2ed2-3539-4f9b-959d-ab49f74a7d88,S60,EUR/USD OTC,2026-07-23 04:09:07,2026-07-23 04:10:07,1.13318,1.13342,2,-2,USD
put,4f6ff93c-a6c7-4c14-a0e2-af0327a9365d,S60,EUR/USD OTC,2026-07-23 04:09:06,2026-07-23 04:10:06,1.13317,1.13342,2,-2,USD
put,03e3fd2f-69a4-4543-873e-9a4a53db619b,S60,EUR/USD OTC,2026-07-23 04:09:04,2026-07-23 04:10:04,1.13314,1.13334,2,-2,USD
put,c4203f17-5be2-48e3-9add-e4cd17d681f6,S60,EUR/USD OTC,2026-07-23 04:09:03,2026-07-23 04:10:03,1.13313,1.13333,2,-2,USD
put,db6e7248-ffb3-403a-8f55-ea0d4da18d40,S60,EUR/USD OTC,2026-07-23 04:08:03,2026-07-23 04:09:03,1.13305,1.13313,2,-2,USD
put,7ad2fecb-0ffd-4a65-b903-14ee178a35ea,S60,EUR/USD OTC,2026-07-23 04:08:01,2026-07-23 04:09:01,1.13298,1.13316,2,-2,USD
put,adc5827c-22fd-4aa1-ba1e-ae79d4c9ee2e,S60,EUR/USD OTC,2026-07-23 04:03:02,2026-07-23 04:04:02,1.13337,1.13316,2,1.84,USD
put,fd691b50-69fd-4148-b9fc-bc9eb1b9a2dd,S60,EUR/USD OTC,2026-07-23 04:01:37,2026-07-23 04:02:37,1.13397,1.13328,2,1.84,USD
put,49606d46-c42a-4577-a507-1371d8b18b20,S60,EUR/USD OTC,2026-07-23 04:01:36,2026-07-23 04:02:36,1.134,1.13329,2,1.84,USD
